arpabet,engine_phone_id,n_observations,unanimous
aa,0,36,1
ae,1,26,1
ah,2,24,1
ao,3,47,1
aw,4,13,1
ax,5,67,1
ay,6,52,1
b,7,22,1
ch,8,6,1
d,9,55,1
dh,10,56,1
dx,11,27,1
eh,12,81,1
el,13,10,1
en,14,2,1
er,15,56,1
ey,16,43,1
f,17,47,1
g,18,16,1
hh,19,16,1
ih,20,54,1
ix,21,135,1
iy,22,82,1
jh,23,9,1
k,24,72,1
l,25,88,1
m,26,65,1
n,27,136,1
ng,28,22,1
ow,29,33,1
oy,30,3,1
p,31,58,1
pau,32,262,1
r,33,100,1
s,34,114,1
sh,35,18,1
t,36,136,1
th,37,22,1
uh,38,6,1
uw,39,25,1
v,40,26,1
w,41,48,1
y,43,18,1
z,44,66,1
zh,45,1,1
